name,url,scope_1,scope_2,scope_3,total_offset_expenditure,total_offsets_tons_co2
Made Trade,https://www.climateneutral.org/brand/made-trade,12.0,55.0,229.0,2138.75,295.0
Maison Louis Marie,https://www.climateneutral.org/brand/maison-louis-marie,5.0,8.0,1056.0,7750.25,1069.0
Mananalu,https://www.climateneutral.org/brand/mananalu,0.0,0.0,1012.0,10515.0,1014.0
Mantra,https://www.climateneutral.org/brand/mantra,0.0,1.0,2149.0,18037.5,2150.0
Marine Agency Corp,https://www.climateneutral.org/brand/marine-agency-corp,3.0,0.0,141.0,2825.28,144.0
Marnie Hawson,https://www.climateneutral.org/brand/marnie-hawson,0.0,0.0,4.0,358.75,25.0
Mast Furniture,https://www.climateneutral.org/brand/mast-furniture,23.0,0.0,240.0,1518.0,264.0
MATE the Label,https://www.climateneutral.org/brand/mate-the-label,0.0,1.0,1261.0,10088.0,1261.0
Memori,https://www.climateneutral.org/brand/memori,0.0,3.0,1061.0,10108.0,1064.0
MiiR,https://www.climateneutral.org/brand/miir,14.0,36.0,13039.0,158204.6,13151.0
MindEdge,https://www.climateneutral.org/brand/mindedge,0.0,5.0,277.0,2679.0,282.0
Minty Made,https://www.climateneutral.org/brand/minty-made,0.0,3.0,5.0,93.75,8.0
Modern Adventure,https://www.climateneutral.org/brand/modern-adventure,7.0,169.0,335.0,5874.75,511.0
Modern Standard Coffee,https://www.climateneutral.org/brand/modern-standard-coffee,6.0,0.0,81.0,565.5,87.0
Molly Mutt,https://www.climateneutral.org/brand/molly-mutt,1.0,3.0,1842.0,16900.0,1900.0
Monos,https://www.climateneutral.org/brand/monos,0.0,241.0,31142.0,412699.6,31384.0
MyHEAT,https://www.climateneutral.org/brand/myheat,0.0,13.0,64.0,957.22,78.0
NAAWA CONSULTING,https://www.climateneutral.org/brand/naawa-consulting,0.0,1.0,11.0,87.0,12.0
Nanimarquina,https://www.climateneutral.org/brand/nanimarquina,4.0,29.0,3120.0,16553.25,3153.0
Natural Learning Northwest,https://www.climateneutral.org/brand/natural-learning-northwest,0.0,2.0,2.0,21.0,3.0
Necessaire,https://www.climateneutral.org/brand/necessaire,6.0,55.0,3773.0,64264.0,3834.0
